time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,279b3cf3c92b,acme-acme-1,0.31%,130.5MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,45
5,279b3cf3c92b,acme-acme-1,0.11%,130.4MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,45
10,279b3cf3c92b,acme-acme-1,0.12%,130.4MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,45
15,279b3cf3c92b,acme-acme-1,0.31%,130.6MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,45
20,279b3cf3c92b,acme-acme-1,0.30%,129.5MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
25,279b3cf3c92b,acme-acme-1,0.11%,129.6MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
30,279b3cf3c92b,acme-acme-1,0.32%,129.7MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
35,279b3cf3c92b,acme-acme-1,0.31%,129.6MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
40,279b3cf3c92b,acme-acme-1,0.16%,129.5MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
45,279b3cf3c92b,acme-acme-1,0.12%,129.4MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82GB,30
50,279b3cf3c92b,acme-acme-1,0.32%,129.5MiB / 15.32GiB,0.83%,356MB / 401MB,33.9MB / 82.1GB,30
55,279b3cf3c92b,acme-acme-1,0.47%,129.4MiB / 15.32GiB,0.82%,356MB / 401MB,33.9MB / 82.1GB,30
60,279b3cf3c92b,acme-acme-1,0.12%,129.4MiB / 15.32GiB,0.82%,356MB / 401MB,33.9MB / 82.1GB,30
65,279b3cf3c92b,acme-acme-1,0.11%,129.3MiB / 15.32GiB,0.82%,356MB / 401MB,33.9MB / 82.1GB,30
70,279b3cf3c92b,acme-acme-1,0.48%,129.3MiB / 15.32GiB,0.82%,356MB / 401MB,33.9MB / 82.1GB,30
75,279b3cf3c92b,acme-acme-1,0.31%,129.3MiB / 15.32GiB,0.82%,356MB / 401MB,33.9MB / 82.1GB,30
