Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Mobius/ae_ac/AC0/Data,621,0,12,12.502081995079052,4.202144002192654,93.03071499743965,297.0,0.08624142424543219,0.0,12,13,13,14,15,18,23,28,93,93,93
POST,/Mobius/ae_ac/AC1/Data,622,0,12,13.01783450490887,4.075404998729937,74.05320000543725,297.0,0.0863802993247324,0.0,12,13,14,14,17,21,29,31,74,74,74
POST,/Mobius/ae_ac/AC10/Data,606,0,12,13.009496435554539,5.090419006592128,49.38858399691526,297.0,0.08415829805592899,0.0,12,13,14,14,18,22,26,28,49,49,49
POST,/Mobius/ae_ac/AC100/Data,547,0,12,12.615030424064855,4.843750997679308,46.72033699898748,297.0,0.07596466837721644,0.0,12,13,13,14,16,19,26,29,47,47,47
POST,/Mobius/ae_ac/AC101/Data,602,2,12,13.396321865147428,5.450805001601111,99.58212199853733,296.14285714285717,0.08360279773872814,0.0002777501586004257,12,13,14,14,18,22,30,38,100,100,100
POST,/Mobius/ae_ac/AC102/Data,583,0,12,12.581504660332655,5.6425969960400835,58.54608400113648,297.0,0.0809641712320241,0.0,12,13,13,14,16,20,25,30,59,59,59
POST,/Mobius/ae_ac/AC103/Data,608,0,12,12.875248389886302,4.1057630005525425,73.11871200363385,297.0,0.08443604821452942,0.0,12,13,14,14,17,19,24,29,73,73,73
POST,/Mobius/ae_ac/AC104/Data,565,0,12,12.894753162866042,5.803313993965276,92.07496099406853,297.0,0.07846441980462027,0.0,12,13,13,14,16,20,26,30,92,92,92
POST,/Mobius/ae_ac/AC105/Data,616,0,12,12.579048240199468,5.772399003035389,42.260037997039035,297.0,0.08554704884893112,0.0,12,13,13,14,16,19,25,26,42,42,42
POST,/Mobius/ae_ac/AC106/Data,599,0,12,12.541943095075021,6.445416998758446,36.70905400213087,297.0,0.08318617250082751,0.0,12,13,13,14,16,19,24,28,37,37,37
