Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1693985296,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1693985297,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1693985298,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1693985299,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1693985300,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1693985301,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985302,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985303,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985304,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985305,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985306,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985307,5,,Aggregated,0.000000,0.000000,20,20,20,21,21,21,21,21,21,21,21,5,0,20,19.25342599861324,17.393588997947518,21.083924002596177,297.0
1693985308,5,,Aggregated,1.000000,0.000000,20,20,20,20,21,21,21,21,21,21,21,6,0,18,18.916111332752433,17.229538003448397,21.083924002596177,297.0
1693985309,5,,Aggregated,1.000000,0.000000,20,20,20,20,21,21,21,21,21,21,21,6,0,18,18.916111332752433,17.229538003448397,21.083924002596177,297.0
1693985310,5,,Aggregated,0.714286,0.000000,18,20,20,20,21,21,21,21,21,21,21,7,0,18,17.848705428020498,11.444269999628887,21.083924002596177,297.0
1693985311,5,,Aggregated,0.714286,0.000000,18,20,20,20,21,21,21,21,21,21,21,7,0,18,17.848705428020498,11.444269999628887,21.083924002596177,297.0
1693985312,5,,Aggregated,0.714286,0.000000,18,20,20,20,21,21,21,21,21,21,21,7,0,18,17.848705428020498,11.444269999628887,21.083924002596177,297.0
1693985313,5,,Aggregated,0.700000,0.000000,18,20,20,20,21,21,21,21,21,21,21,8,0,17,17.162607375212247,11.444269999628887,21.083924002596177,297.0
1693985314,5,,Aggregated,0.200000,0.000000,17,18,20,20,21,21,21,21,21,21,21,10,0,17,16.350770799908787,11.444269999628887,21.083924002596177,297.0
1693985315,5,,Aggregated,0.200000,0.000000,17,18,20,20,20,21,21,21,21,21,21,11,0,17,16.255962454703297,11.444269999628887,21.083924002596177,297.0
1693985316,5,,Aggregated,0.200000,0.000000,17,18,20,20,20,21,21,21,21,21,21,11,0,17,16.255962454703297,11.444269999628887,21.083924002596177,297.0
1693985317,5,,Aggregated,0.200000,0.000000,17,18,20,20,20,21,21,21,21,21,21,11,0,17,16.255962454703297,11.444269999628887,21.083924002596177,297.0
1693985318,5,,Aggregated,0.600000,0.000000,17,17,20,20,20,21,21,21,21,21,21,12,0,16,16.27215208342629,11.444269999628887,21.083924002596177,297.0
1693985319,5,,Aggregated,0.600000,0.000000,17,17,20,20,20,21,21,21,21,21,21,12,0,16,16.27215208342629,11.444269999628887,21.083924002596177,297.0
1693985320,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,13,0,16,16.240566923583035,11.444269999628887,21.083924002596177,297.0
1693985321,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985322,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985323,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985324,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985325,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985326,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985327,5,,Aggregated,0.600000,0.000000,16,17,18,20,20,21,21,21,21,21,21,14,0,16,16.10367271496216,11.444269999628887,21.083924002596177,297.0
1693985328,5,,Aggregated,0.300000,0.000000,16,17,18,20,20,21,21,21,21,21,21,15,0,16,16.13881666708039,11.444269999628887,21.083924002596177,297.0
