time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,279b3cf3c92b,acme-acme-1,0.12%,130.5MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
5,279b3cf3c92b,acme-acme-1,0.33%,130.6MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
10,279b3cf3c92b,acme-acme-1,0.33%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
15,279b3cf3c92b,acme-acme-1,0.11%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
20,279b3cf3c92b,acme-acme-1,0.12%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
25,279b3cf3c92b,acme-acme-1,3.36%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
30,279b3cf3c92b,acme-acme-1,0.31%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
35,279b3cf3c92b,acme-acme-1,3.11%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
40,279b3cf3c92b,acme-acme-1,13.38%,130.5MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
45,279b3cf3c92b,acme-acme-1,0.31%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
50,279b3cf3c92b,acme-acme-1,12.70%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
55,279b3cf3c92b,acme-acme-1,10.91%,130.4MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,25
60,279b3cf3c92b,acme-acme-1,6.57%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
65,279b3cf3c92b,acme-acme-1,10.90%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
70,279b3cf3c92b,acme-acme-1,4.25%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
75,279b3cf3c92b,acme-acme-1,0.12%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
80,279b3cf3c92b,acme-acme-1,13.08%,130.1MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
85,279b3cf3c92b,acme-acme-1,11.95%,130.1MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
90,279b3cf3c92b,acme-acme-1,4.20%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
95,279b3cf3c92b,acme-acme-1,5.78%,130MiB / 15.32GiB,0.83%,434MB / 486MB,33.9MB / 114GB,19
