Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/~/in-cse/in-name/AE-AC/AC-1/Data/la,461,1,2700.0,3210.122336125102,10.320823988877237,130560.56169999647,299.3492407809111,0.06402136871254488,0.00013887498636126874,2700,3600,3800,4500,5300,7300,12000,21000,131000,131000,131000
GET,/~/in-cse/in-name/AE-AC/AC-10/Data/la,504,0,2000.0,2750.092960466501,9.162825997918844,69399.13177897688,300.0,0.06999299312607944,0.0,2000,3400,3600,3700,4900,6800,11000,19000,69000,69000,69000
GET,/~/in-cse/in-name/AE-AC/AC-100/Data/la,446,0,2500.0,2562.1704363583635,11.699815018801019,19921.363350003958,300.0,0.06193824391712585,0.0,2500,3500,3700,3900,5000,7200,11000,11000,20000,20000,20000
GET,/~/in-cse/in-name/AE-AC/AC-101/Data/la,439,1,1600.0,2532.860822315131,9.669303020928055,108544.91927599884,299.31662870159454,0.06096611901259697,0.00013887498636126874,1600,3400,3600,3800,4800,6800,11000,15000,109000,109000,109000
GET,/~/in-cse/in-name/AE-AC/AC-102/Data/la,440,0,1800.0,2459.2137689473025,9.653339977376163,22082.483506994322,300.0,0.06110499399895824,0.0,1800,3500,3700,3800,5800,7200,11000,14000,22000,22000,22000
GET,/~/in-cse/in-name/AE-AC/AC-103/Data/la,479,1,2600.0,3248.984579615915,11.467122996691614,130981.23015399324,299.37369519832987,0.06652111846704772,0.00013887498636126874,2600,3600,3800,4500,5300,8100,12000,20000,131000,131000,131000
GET,/~/in-cse/in-name/AE-AC/AC-104/Data/la,433,0,1700.0,2467.983658620263,11.887782980920747,67434.4596209994,300.0,0.06013286909442936,0.0,1700,3400,3600,3700,4700,6800,11000,11000,67000,67000,67000
GET,/~/in-cse/in-name/AE-AC/AC-105/Data/la,456,1,2200.0,3042.083622725681,10.87046301108785,130262.48251702054,299.3421052631579,0.06332699378073854,0.00013887498636126874,2200,3500,3700,3900,5600,7600,11000,19000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AC/AC-106/Data/la,499,1,1900.0,2673.7596463194322,10.878364992095158,130524.3700229912,297.40280561122245,0.06929861819427309,0.00013887498636126874,1900,3500,3600,3800,4800,6600,9600,11000,131000,131000,131000
GET,/~/in-cse/in-name/AE-AC/AC-107/Data/la,507,0,1700.0,2393.3662784636467,10.585569980321452,67205.87866398273,300.0,0.07040961808516324,0.0,1700,3400,3600,3700,4900,6700,9600,11000,67000,67000,67000
GET,/~/in-cse/in-name/AE-AC/AC-108/Data/la,452,1,1600.0,2499.25971358665,9.534118988085538,129728.14851399744,299.3362831858407,0.06277149383529347,0.00013887498636126874,1600,3400,3600,3700,4700,6800,7900,14000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AC/AC-109/Data/la,484,0,1900.0,2306.0288982843667,9.331095992820337,45670.50566399121,298.0,0.06721549339885406,0.0,1900,3500,3700,3800,4800,6600,7700,11000,46000,46000,46000
GET,/~/in-cse/in-name/AE-AC/AC-11/Data/la,450,0,1500.0,2227.9578468796617,9.47472799452953,59265.385924984,300.0,0.06249374386257093,0.0,1600,3200,3600,3800,4700,6500,8700,11000,59000,59000,59000
GET,/~/in-cse/in-name/AE-AC/AC-110/Data/la,457,1,2300.0,2889.098763983541,9.814121993258595,130103.32526999991,299.34354485776805,0.06346586876709981,0.00013887498636126874,2300,3500,3700,3900,4900,7100,11000,11000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AC/AC-111/Data/la,453,0,2100.0,2745.9366634556463,8.95291697815992,69101.30754197598,300.0,0.06291036882165474,0.0,2100,3500,3700,3800,5100,7600,11000,19000,69000,69000,69000
GET,/~/in-cse/in-name/AE-AC/AC-112/Data/la,480,1,1800.0,2813.3771164916957,11.234959005378187,121536.69477798394,299.375,0.06665999345340899,0.00013887498636126874,1800,3500,3700,4500,5600,7800,12000,19000,122000,122000,122000
GET,/~/in-cse/in-name/AE-AC/AC-113/Data/la,461,0,2300.0,2635.371749590063,10.305667005013674,35416.525292996084,300.0,0.06402136871254488,0.0,2300,3600,3700,3900,4900,6900,11000,17000,35000,35000,35000
GET,/~/in-cse/in-name/AE-AC/AC-114/Data/la,446,0,1700.0,2331.46515763907,8.521381998434663,31460.101972013945,300.0,0.06193824391712585,0.0,1700,3500,3700,3800,4800,6700,11000,11000,31000,31000,31000
GET,/~/in-cse/in-name/AE-AC/AC-115/Data/la,451,1,1700.0,2601.194781881017,12.305814991123043,108597.74457899039,298.3370288248337,0.0626326188489322,0.00013887498636126874,1700,3400,3600,3700,4800,6700,7900,12000,109000,109000,109000
GET,/~/in-cse/in-name/AE-AC/AC-116/Data/la,444,0,1600.0,2547.734076989326,9.381474985275418,68317.05797897303,300.0,0.061660493944403316,0.0,1600,3500,3700,3800,5200,6900,11000,13000,68000,68000,68000
