time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,784d7e76854f,multi-om2m-mongo-db-1,0.54%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
5,784d7e76854f,multi-om2m-mongo-db-1,0.54%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
10,784d7e76854f,multi-om2m-mongo-db-1,0.52%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
15,784d7e76854f,multi-om2m-mongo-db-1,0.55%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
20,784d7e76854f,multi-om2m-mongo-db-1,0.52%,385.3MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
25,784d7e76854f,multi-om2m-mongo-db-1,321.88%,385.3MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 412MB,134
30,784d7e76854f,multi-om2m-mongo-db-1,100.33%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
35,784d7e76854f,multi-om2m-mongo-db-1,169.86%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
40,784d7e76854f,multi-om2m-mongo-db-1,255.31%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
45,784d7e76854f,multi-om2m-mongo-db-1,284.32%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
50,784d7e76854f,multi-om2m-mongo-db-1,0.53%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
55,784d7e76854f,multi-om2m-mongo-db-1,299.89%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
60,784d7e76854f,multi-om2m-mongo-db-1,63.20%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
65,784d7e76854f,multi-om2m-mongo-db-1,100.32%,385.2MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
70,784d7e76854f,multi-om2m-mongo-db-1,130.26%,385.3MiB / 15.32GiB,2.46%,679MB / 3.28GB,100MB / 413MB,134
75,784d7e76854f,multi-om2m-mongo-db-1,59.06%,385.2MiB / 15.32GiB,2.46%,680MB / 3.28GB,100MB / 413MB,134
80,784d7e76854f,multi-om2m-mongo-db-1,284.70%,385.3MiB / 15.32GiB,2.46%,680MB / 3.28GB,100MB / 413MB,134
85,784d7e76854f,multi-om2m-mongo-db-1,362.12%,385.2MiB / 15.32GiB,2.46%,680MB / 3.28GB,100MB / 413MB,134
90,784d7e76854f,multi-om2m-mongo-db-1,272.82%,385.4MiB / 15.32GiB,2.46%,680MB / 3.28GB,100MB / 414MB,134
95,784d7e76854f,multi-om2m-mongo-db-1,225.00%,385.2MiB / 15.32GiB,2.46%,680MB / 3.28GB,100MB / 414MB,134
